State,name,party,district,phone,url,twitter,facebook,youtube,instagram
Pennsylvania,Guy Reschenthaler,R,PA-14,202-225-2065,https://reschenthaler.house.gov,GReschenthaler,GReschenthaler,RepGuyReschenthaler,greschenthaler
Pennsylvania,Glenn Thompson,R,PA-15,202-225-5121,https://thompson.house.gov,CongressmanGT,CongressmanGT,CongressmanGT,congressman_gt
Pennsylvania,Mike Kelly,R,PA-16,202-225-5406,https://kelly.house.gov,MikeKellyPA,191056827594903,repmikekelly,
Pennsylvania,Chris Deluzio,D,PA-17,202-225-2301,https://deluzio.house.gov,RepDeluzio,RepChrisDeluzio,,RepDeluzio
Pennsylvania,John Fetterman,D,Senate,202-224-4254,https://www.fetterman.senate.gov,,SenFettermanPA,,senfettermanpa
Pennsylvania,Dave McCormick,R,Senate,202-224-6324,https://www.mccormick.senate.gov,,SenMcCormickPA,@SenMcCormickPA,senmccormickpa
Puerto Rico,Pablo José Hernández Rivera,D,PR-AL,202-225-2615,https://hernandez.house.gov,reppablojose,61569891687422,,reppablojose
Rhode Island,Gabe Amo,D,RI-01,202-225-4911,https://amo.house.gov,RepGabeAmo,61553581414066,,repgabeamo
Rhode Island,Seth Magaziner,D,RI-02,202-225-2735,https://magaziner.house.gov,Rep_Magaziner,repsethmagaziner,,
Rhode Island,Sheldon Whitehouse,D,Senate,202-224-2921,https://www.whitehouse.senate.gov,SenWhitehouse,SenatorWhitehouse,SenatorWhitehouse,SenWhitehouse
Rhode Island,John Reed,D,Senate,202-224-4642,https://www.reed.senate.gov,SenJackReed,SenJackReed,SenatorReed,
South Carolina,Nancy Mace,R,SC-01,202-225-3176,https://mace.house.gov,RepNancyMace,RepNancyMace,,repnancymace
South Carolina,Joe Wilson,R,SC-02,202-225-2452,https://joewilson.house.gov,RepJoeWilson,JoeWilson,RepJoeWilson,repjoewilson
South Carolina,Sheri Biggs,R,SC-03,202-225-5301,https://sheribiggs.house.gov,repsheribiggs,RepSheriBiggs,,RepSheriBiggs
South Carolina,William Timmons,R,SC-04,202-225-6030,https://timmons.house.gov,RepTimmons,reptimmons,,reptimmons
South Carolina,Ralph Norman,R,SC-05,202-225-5501,https://norman.house.gov,RepRalphNorman,RepRalphNorman,UCVVIZjUpGRB1pgQGDBVBU8Q,repralphnorman
South Carolina,James Clyburn,D,SC-06,202-225-3315,https://clyburn.house.gov,RepJamesClyburn,jameseclyburn,repjamesclyburn,repjamesclyburn
South Carolina,Russell Fry,R,SC-07,202-225-9895,https://fry.house.gov,RepRussellFry,reprussellfry,@reprussellfry,reprussellfry
South Carolina,Lindsey Graham,R,Senate,202-224-5972,https://www.lgraham.senate.gov/public,GrahamBlog,USSenatorLindseyGraham,USSenLindseyGraham,
South Carolina,Tim Scott,R,Senate,202-224-6121,https://www.scott.senate.gov,SenatorTimScott,SenatorTimScott,SenatorTimScott,SenatorTimScott
South Dakota,Dusty Johnson,R,SD-AL,202-225-2801,https://dustyjohnson.house.gov,RepDustyJohnson,,,
South Dakota,John Thune,R,Senate,202-224-2321,https://www.thune.senate.gov,SenJohnThune,LeaderJohnThune,johnthune,senjohnthune
South Dakota,Mike Rounds,R,Senate,202-224-5842,https://www.rounds.senate.gov,SenatorRounds,SenatorMikeRounds,,senatorrounds
Tennessee,Diana Harshbarger,R,TN-01,202-225-6356,https://harshbarger.house.gov,RepHarshbarger,RepDianaHarshbarger,,
Tennessee,Tim Burchett,R,TN-02,202-225-5435,https://burchett.house.gov,RepTimBurchett,,,
Tennessee,Charles Fleischmann,R,TN-03,202-225-3271,https://fleischmann.house.gov,RepChuck,repchuck,repchuck,
Tennessee,Scott DesJarlais,R,TN-04,202-225-6831,https://desjarlais.house.gov,DesJarlaisTN04,ScottDesJarlaisTN04,ScottDesJarlaisTN04,desjarlaistn04
Tennessee,Andrew Ogles,R,TN-05,202-225-4311,https://ogles.house.gov,repogles,RepAndyOgles,,repandyogles
Tennessee,John Rose,R,TN-06,202-225-4231,https://johnrose.house.gov,RepJohnRose,repjohnrose,,
Tennessee,Mark Green,R,TN-07,202-225-2811,https://markgreen.house.gov,RepMarkGreen,RepMarkGreenTN,UC5kpqepPIdUNaMtfGb-7MwA,repmarkgreen
Tennessee,David Kustoff,R,TN-08,202-225-4714,https://kustoff.house.gov,RepDavidKustoff,RepDavidKustoff,,repdavidkustoff
Tennessee,Steve Cohen,D,TN-09,202-225-3265,https://cohen.house.gov,RepCohen,CongressmanSteveCohen,repcohen,repcohen
Tennessee,Marsha Blackburn,R,Senate,202-224-3344,https://www.blackburn.senate.gov,MarshaBlackburn,marshablackburn,RepMarshaBlackburn,marshablackburn
Tennessee,Bill Hagerty,R,Senate,202-224-4944,https://www.hagerty.senate.gov,SenatorHagerty,SenatorBillHagerty,UCqLlLx05ScUwxVHvevyaDFg,senatorhagerty
Texas,Nathaniel Moran,R,TX-01,202-225-3035,https://moran.house.gov,RepNateMoran,RepNateMoran,@RepNateMoran,RepNateMoran
Texas,Dan Crenshaw,R,TX-02,202-225-6565,https://crenshaw.house.gov,RepDanCrenshaw,RepDanCrenshaw,UC2XDiCjAHtJqnSEzrHAY5IQ,dancrenshawtx
Texas,Keith Self,R,TX-03,202-225-4201,https://keithself.house.gov,repkeithself,repkeithself,,repkeithself
Texas,Patrick Fallon,R,TX-04,202-225-6673,https://fallon.house.gov,RepPatFallon,RepPatFallon,RepPatFallon,RepPatFallon
Texas,Lance Gooden,R,TX-05,202-225-3484,https://gooden.house.gov,,,UCaEs0pYlL_1cLlPBHfl0RIg,
Texas,Jake Ellzey,R,TX-06,202-225-2002,https://ellzey.house.gov,RepEllzey,RepJakeEllzey,,
Texas,Lizzie Fletcher,D,TX-07,202-225-2571,https://fletcher.house.gov,RepFletcher,RepFletcher,UCIWDLoDPvawP118TNWi-9rg,repfletcher
Texas,Morgan Luttrell,R,TX-08,202-225-4901,https://luttrell.house.gov,RepLuttrell,100089328790942,,repluttrelltx
Texas,Al Green,D,TX-09,202-225-7508,https://algreen.house.gov,RepAlGreen,repalgreen,RepAlGreen,repalgreen
Texas,Michael McCaul,R,TX-10,202-225-2401,https://mccaul.house.gov,RepMcCaul,michaeltmccaul,MichaelTMcCaul,congressman_mccaul
Texas,August Pfluger,R,TX-11,202-225-3605,https://pfluger.house.gov,RepPfluger,RepAugustPfluger,UC8bJT16wpa7co50ELvpMTTg,repaugustpfluger
Texas,Craig Goldman,R,TX-12,202-225-5071,https://craiggoldman.house.gov,RepCraigGoldman,61571449239416,,repcraiggoldman
Texas,Ronny Jackson,R,TX-13,202-225-3706,https://jackson.house.gov,RepRonnyJackson,RepRonnyJackson,,RepRonnyJackson
Texas,Randy Weber,R,TX-14,202-225-2831,https://weber.house.gov,TXRandy14,TXRandy14,TXRandy14,TXRandy14
Texas,Mónica De La Cruz,R,TX-15,202-225-9901,https://delacruz.house.gov,RepMonicaDLC,RepMonicaDLC,@RepMonicaDLC,RepMonicaDLC
Texas,Veronica Escobar,D,TX-16,202-225-4831,https://escobar.house.gov,RepEscobar,RepEscobar,UC46TX2P8K0CA_4gZv8_R2Og,repescobar
Texas,Pete Sessions,R,TX-17,202-225-6105,https://sessions.house.gov,PeteSessions,petesessions,@congressmanpetesessions,congressmanpetesessions
Texas,Jodey Arrington,R,TX-19,202-225-4005,https://arrington.house.gov,RepArrington,JodeyArrington,UC3lif8TFPOe-tJ2-pE4Rp7Q,repjodeyarrington
Texas,Joaquin Castro,D,TX-20,202-225-3236,https://castro.house.gov,JoaquinCastrotx,326420614138023,JoaquinCastroTX,joaquincastrotx
Texas,Chip Roy,R,TX-21,202-225-4236,https://roy.house.gov,RepChipRoy,,,
Texas,Troy Nehls,R,TX-22,202-225-5951,https://nehls.house.gov,RepTroyNehls,RepTroyNehls,,reptroynehls
Texas,Ernest Gonzales,R,TX-23,202-225-4511,https://gonzales.house.gov,RepTonyGonzales,RepTonyGonzales,,
Texas,Beth Van Duyne,R,TX-24,202-225-6605,https://vanduyne.house.gov,RepBethVanDuyne,RepBethVanDuyne,,repbethvanduyne
Texas,Roger Williams,R,TX-25,202-225-9896,https://williams.house.gov,RepRWilliams,RepRogerWilliams,,
Texas,Brandon Gill,R,TX-26,202-225-7772,https://gill.house.gov,repbrandongill,RepBrandonGill,,repbrandongill
Texas,Michael Cloud,R,TX-27,202-225-7742,https://cloud.house.gov,RepCloudTX,RepCloudTX,RepCloudTX,repcloudtx
Texas,Henry Cuellar,D,TX-28,202-225-1640,https://cuellar.house.gov,RepCuellar,152569121550,henrycuellar,RepCuellar
Texas,Sylvia Garcia,D,TX-29,202-225-1688,https://sylviagarcia.house.gov,RepSylviaGarcia,RepSylviaGarcia,,
Texas,Jasmine Crockett,D,TX-30,202-225-8885,https://crockett.house.gov,RepJasmine,RepJasmine,,RepJasmine
Texas,John Carter,R,TX-31,202-225-3864,https://carter.house.gov,JudgeCarter,judgecarter,repjohncarter,judgecarter
Texas,Julie Johnson,D,TX-32,202-225-2231,https://juliejohnson.house.gov,RepJulieJohnson,61569064997067,,repjuliejohnson
Texas,Marc Veasey,D,TX-33,202-225-9897,https://veasey.house.gov,RepVeasey,CongressmanMarcVeasey,marcveasey,repveasey
Texas,Vicente Gonzalez,D,TX-34,202-225-2531,https://gonzalez.house.gov,RepGonzalez,USCongressmanVicenteGonzalez,,repvicentegonzaleztx
Texas,Gregorio Casar,D,TX-35,202-225-5645,https://casar.house.gov,RepCasar,RepCasar,,RepCasar
Texas,Brian Babin,R,TX-36,202-225-1555,https://babin.house.gov,RepBrianBabin,RepBrianBabin,,
Texas,Lloyd Doggett,D,TX-37,202-225-4865,https://doggett.house.gov,RepLloydDoggett,lloyddoggett,doggett,replloyddoggett
Texas,Wesley Hunt,R,TX-38,202-225-5646,https://hunt.house.gov,RepWesleyHunt,RepWesleyHunt,,repwph
Texas,John Cornyn,R,Senate,202-224-2934,https://www.cornyn.senate.gov,JohnCornyn,sen.johncornyn,senjohncornyn,
Texas,Ted Cruz,R,Senate,202-224-5922,https://www.cruz.senate.gov,SenTedCruz,SenatorTedCruz,sentedcruz,sentedcruz
U.S. Virgin Islands,Stacey Plaskett,D,VI-AL,202-225-1790,https://plaskett.house.gov,StaceyPlaskett,repstaceyplaskett,,stacey_plaskett
Utah,Blake Moore,R,UT-01,202-225-0453,https://blakemoore.house.gov,RepBlakeMoore,RepBlakeMoore,@RepBlakeMoore,repblakemoore
Utah,Celeste Maloy,R,UT-02,202-225-9730,https://maloy.house.gov,RepMaloyUtah,61555755717517,@RepCelesteMaloy,RepCelesteMaloy
Utah,Mike Kennedy,R,UT-03,202-225-7751,https://mikekennedy.house.gov,repmikekennedy,RepMikeKennedy,,repmikekennedy
Utah,Clarence Owens,R,UT-04,202-225-3011,https://owens.house.gov,RepBurgessOwens,CongressmanBurgessOwens,UCxeB7xjbLDJM9Yw6brXsX6Q,repburgessowens
Utah,Mike Lee,R,Senate,202-224-5444,https://www.lee.senate.gov,SenMikeLee,senatormikelee,senatormikelee,senmikelee
Utah,John Curtis,R,Senate,202-224-5251,https://www.curtis.senate.gov,RepJohnCurtis,RepJohnCurtis,,repjohncurtis
Vermont,Becca Balint,D,VT-AL,202-225-4115,https://balint.house.gov,RepBeccaB,repbeccab,YouTubeChannelID,repbeccab
Vermont,Bernard Sanders,I,Senate,202-224-5141,https://www.sanders.senate.gov,SenSanders,senatorsanders,senatorsanders,
Vermont,Peter Welch,D,Senate,202-224-4242,https://www.welch.senate.gov,PeterWelch,PeterWelch,reppeterwelch,reppeterwelch
Virginia,Robert Wittman,R,VA-01,202-225-4261,https://wittman.house.gov,RobWittman,RepRobWittman,RobWittman,reprobwittman
Virginia,Jennifer Kiggans,R,VA-02,202-225-4215,https://kiggans.house.gov,RepJenKiggans,repjenkiggans,@repjenkiggans,repjenkiggans
Virginia,Robert Scott,D,VA-03,202-225-8351,https://bobbyscott.house.gov,BobbyScott,RepBobbyScott,repbobbyscott,repbobbyscott
Virginia,Jennifer McClellan,D,VA-04,202-225-6365,https://mcclellan.house.gov,RepMcClellan,,,repmcclellan
Virginia,John McGuire,R,VA-05,202-225-4711,https://mcguire.house.gov,RepJohnMcGuire,RepJohnMcGuire,,repjohnmcguire
Virginia,Ben Cline,R,VA-06,202-225-5431,https://cline.house.gov,RepBenCline,RepBenCline,@congressmanbencline8000,repbencline
Virginia,Eugene Vindman,D,VA-07,202-225-2815,https://vindman.house.gov,RepVindman,CongressmanEugeneVindman,,repvindman
Virginia,Donald Beyer,D,VA-08,202-225-4376,https://beyer.house.gov,RepDonBeyer,RepDonBeyer,,repdonbeyer
Virginia,H. Griffith,R,VA-09,202-225-3861,https://morgangriffith.house.gov,RepMGriffith,RepMorganGriffith,RepMorganGriffith,hmorgangriffith
Virginia,Suhas Subramanyam,D,VA-10,202-225-5136,https://subramanyam.house.gov,RepSuhas,RepSuhasSubramanyam,,repsuhas
Virginia,Gerald Connolly,D,VA-11,202-225-1492,https://connolly.house.gov,GerryConnolly,CongressmanGerryConnolly,repconnolly,repgerryconnolly
Virginia,Mark Warner,D,Senate,202-224-2023,https://www.warner.senate.gov,MarkWarner,MarkRWarner,SenatorMarkWarner,senatorwarner
Virginia,Timothy Kaine,D,Senate,202-224-4024,https://www.kaine.senate.gov,,SenatorKaine,SenatorTimKaine,sentimkaine
Washington,Suzan DelBene,D,WA-01,202-225-6311,https://delbene.house.gov,RepDelBene,RepDelBene,,repdelbene
Washington,Rick Larsen,D,WA-02,202-225-2605,https://larsen.house.gov,RepRickLarsen,RepRickLarsen,congressmanlarsen,repricklarsen
Washington,Marie Gluesenkamp Perez,D,WA-03,202-225-3536,https://gluesenkampperez.house.gov,RepMGP,RepMGP,@repmgp,repmgp
Washington,Dan Newhouse,R,WA-04,202-225-5816,https://newhouse.house.gov,RepNewhouse,RepNewhouse,,repnewhouse
Washington,Michael Baumgartner,R,WA-05,202-225-2006,https://baumgartner.house.gov,repbaumgartner,RepBaumgartner,,repbaumgartner
Washington,Emily Randall,D,WA-06,202-225-5916,https://randall.house.gov,,,,
Washington,Pramila Jayapal,D,WA-07,202-225-3106,https://jayapal.house.gov,RepJayapal,RepJayapal,,repjayapal
Washington,Kim Schrier,D,WA-08,202-225-7761,https://schrier.house.gov,RepKimSchrier,repkimschrier,,
Washington,Adam Smith,D,WA-09,202-225-8901,https://adamsmith.house.gov,RepAdamSmith,RepAdamSmith,CongressmanAdamSmith,repadamsmith
Washington,Marilyn Strickland,D,WA-10,202-225-9740,https://strickland.house.gov,RepStricklandWA,RepStricklandWA,,repstricklandwa
Washington,Maria Cantwell,D,Senate,202-224-3441,https://www.cantwell.senate.gov,SenatorCantwell,senatorcantwell,SenatorCantwell,
Washington,Patty Murray,D,Senate,202-224-2621,https://www.murray.senate.gov,PattyMurray,,SenatorPattyMurray,senpattymurray
West Virginia,Carol Miller,R,WV-01,202-225-3452,https://miller.house.gov,RepCarolMiller,RepCarolMiller,,
West Virginia,Riley Moore,R,WV-02,202-225-2711,https://rileymoore.house.gov,RepRileyMoore,,,reprileymoore
West Virginia,Shelley Capito,R,Senate,202-224-6472,https://www.capito.senate.gov,SenCapito,senshelley,,sencapito
West Virginia,Jim Justice,R,Senate,202-224-3954,https://www.justice.senate.gov,,100044187231175,,senjimjustice
Wisconsin,Bryan Steil,R,WI-01,202-225-3031,https://steil.house.gov,RepBryanSteil,,,
Wisconsin,Mark Pocan,D,WI-02,202-225-2906,https://pocan.house.gov,RepMarkPocan,repmarkpocan,repmarkpocan,repmarkpocan
Wisconsin,Derrick Van Orden,R,WI-03,202-225-5506,https://vanorden.house.gov,RepVanOrden,RepVanOrden,,RepVanOrden
Wisconsin,Gwen Moore,D,WI-04,202-225-4572,https://gwenmoore.house.gov,RepGwenMoore,GwenSMoore,RepGwenMoore,RepGwenMoore
Wisconsin,Scott Fitzgerald,R,WI-05,202-225-5101,https://fitzgerald.house.gov,RepFitzgerald,CongressmanScottFitzgerald,,
Wisconsin,Glenn Grothman,R,WI-06,202-225-2476,https://grothman.house.gov,RepGrothman,RepGrothman,,repglenngrothman
Wisconsin,Thomas Tiffany,R,WI-07,202-225-3365,https://tiffany.house.gov,RepTiffany,RepTiffany,,
Wisconsin,Tony Wied,R,WI-08,202-225-5665,https://wied.house.gov,RepTonyWied,61568624194199,,reptonywied
Wisconsin,Tammy Baldwin,D,Senate,202-224-5653,https://www.baldwin.senate.gov,SenatorBaldwin,senatortammybaldwin,witammybaldwin,senatorbaldwin
Wisconsin,Ron Johnson,R,Senate,202-224-5323,https://www.ronjohnson.senate.gov,SenRonJohnson,senronjohnson,SenatorRonJohnson,senronjohnson
Wyoming,Harriet Hageman,R,WY-AL,202-225-2311,https://hageman.house.gov,RepHageman,,@rephageman,
Wyoming,John Barrasso,R,Senate,202-224-6441,https://www.barrasso.senate.gov,SenJohnBarrasso,johnbarrasso,barrassowyo,
Wyoming,Cynthia Lummis,R,Senate,202-224-3424,https://www.lummis.senate.gov,SenLummis,sencynthialummis,,sencynthialummis
